,mu,std
memDBp,0.56374896,0.41126135
Reco_tHq_h_pt,178.42535,102.83191
Reco_tHq_h_dr,1.4588825,0.59414977
Reco_JABDT_tHq_log_h_pt,4.997789,0.68059593
Reco_JABDT_tHq_log_min_hdau1_pt_hdau2_pt,4.0607915,0.43969446
Reco_tHW_h_pt,170.42049,104.34298
Reco_tHW_h_dr,1.5024923,0.60498023
Reco_JABDT_tHW_log_h_pt,4.9433136,0.6740647
Reco_ttH_h_dr,1.6803991,0.70184207
Reco_ttH_h_m,116.47371,24.274889
Reco_JABDT_ttH_log_h_pt,4.7877603,0.7888012
Reco_JABDT_ttH_log_toplep_m,5.309003,0.3190529
Evt_Pt_TaggedJetsAverage,96.98335,40.1686
Evt_Dr_TaggedJetsAverage,2.08161,0.29053706
Evt_M_TaggedJetsAverage,13.365685,4.6519685
Evt_Pt_minDrTaggedJets,186.57735,99.85595
Evt_Pt_JetsAverage,94.16873,35.354
