Uncertainty,Type,Construction,Up,Down,Plot,ttZbb,ttZqq,ttZll,ttlf,ttcc,tthf,singlet,wjets,zjets,ttW,diboson,ttH,ttZbb_v2,ttZbb_v3,ttZqq_v2
bgnorm_tthf,lnN,rate,,,,,,,,,1.5,,,,,,,,,
bgnorm_ttcc,lnN,rate,,,,,,,,1.5,,,,,,,,,,
bgnorm_ttH,lnN,rate,,,,,,,,,,,,,,,0.945/1.078,,,
XSnorm_ttZ,lnN,rate,,,,1.08,1.08,1.08,,,,,,,,,,1.08,1.08,1.08
#,,,,,,,,,,,,,,,,,,,,
lumi_13TeV,lnN,rate,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
#,,,,,,,,,,,,,,,,,,,,
#QCDscale_ttH,lnN,rate,,,,,,,,,,,,,,,0.908/1.058,,,
QCDscale_ttZ,lnN,rate,,,,0.88/1.10,0.88/1.10,0.88/1.10,,,,,,,,,,0.88/1.10,0.88/1.10,0.88/1.10
QCDscale_ttbar,lnN,rate,,,,,,,0.96/1.02,0.96/1.02,0.96/1.02,,,,0.88/1.13,,0.908/1.058,,,
QCDscale_singlet,lnN,rate,,,,,,,,,,0.98/1.03,,,,,,,,
QCDscale_V,lnN,rate,,,,,,,,,,,1.01,1.01,,,,,,
QCDscale_VV,lnN,rate,,,,,,,,,,,,,,1.02,,,,
#,,,,,,,,,,,,,,,,,,,,
#pdf_ttH,lnN,rate,,,,,,,,,,,,,,,1.036,,,
pdf_ttZ,lnN,rate,,,,1.03,1.03,1.03,,,,,,,,,,1.03,1.03,1.03
pdf_gg,lnN,rate,,,,,,,1.04,1.04,1.04,,,,,,1.036,,,
pdf_qqbar,lnN,rate,,,,,,,,,,,1.04,1.04,1.02,1.02,,,,
pdf_qg,lnN,rate,,,,,,,,,,1.04,,,,,,,,
